B10,10,18,+0.22,+0.15
B10,18,30,+0.244,+0.16
B10,30,40,+0.27,+0.17
B10,40,50,+0.28,+0.18
B10,50,65,+0.31,+0.19
B10,65,80,+0.32,+0.2
B10,80,100,+0.36,+0.22
B10,100,120,+0.38,+0.24
B10,120,140,+0.42,+0.26
B10,140,160,+0.44,+0.28
B10,160,180,+0.47,+0.31
B10,180,200,+0.525,+0.34
B10,200,225,+0.565,+0.38
B10,225,250,+0.605,+0.42
B10,250,280,+0.69,+0.48
B10,280,315,+0.75,+0.54
B10,315,355,+0.83,+0.6
B10,355,400,+0.91,+0.68
B10,400,450,+1.01,+0.76
B10,450,500,+1.09,+0.84
B11,0,3,+0.2,+0.14
B11,3,6,+0.215,+0.14
B11,6,10,+0.24,+0.15
B11,10,18,+0.26,+0.15
B11,18,30,+0.29,+0.16
B11,30,40,+0.33,+0.17
B11,40,50,+0.34,+0.18
B11,50,65,+0.38,+0.19
B11,65,80,+0.39,+0.2
B11,80,100,+0.44,+0.22
B11,100,120,+0.46,+0.24
B11,120,140,+0.51,+0.26
B11,140,160,+0.53,+0.28
B11,160,180,+0.56,+0.31
B11,180,200,+0.63,+0.34
B11,200,225,+0.67,+0.38
B11,225,250,+0.71,+0.42
B11,250,280,+0.8,+0.48
B11,280,315,+0.86,+0.54
B11,315,355,+0.96,+0.6
B11,355,400,+1.04,+0.68
B11,400,450,+1.16,+0.76
B11,450,500,+1.24,+0.84
B12,0,3,+0.24,+0.14
B12,3,6,+0.26,+0.14
B12,6,10,+0.3,+0.15
B12,10,18,+0.33,+0.15
B12,18,30,+0.37,+0.16
B12,30,40,+0.42,+0.17
B12,40,50,+0.43,+0.18
B12,50,65,+0.49,+0.19
B12,65,80,+0.5,+0.2
B12,80,100,+0.57,+0.22
B12,100,120,+0.59,+0.24
B12,120,140,+0.66,+0.26
B12,140,160,+0.68,+0.28
B12,160,180,+0.71,+0.31
B12,180,200,+0.8,+0.34
B12,200,225,+0.84,+0.38
B12,225,250,+0.88,+0.42
B12,250,280,+1,+0.48
B12,280,315,+1.06,+0.54
B12,315,355,+1.17,+0.6
B12,355,400,+1.25,+0.68
B12,400,450,+1.39,+0.76
B12,450,500,+1.47,+0.84
B13,0,3,+0.28,+0.14
B13,3,6,+0.32,+0.14
B13,6,10,+0.37,+0.15
B13,10,18,+0.42,+0.15
B13,18,30,+0.49,+0.16
B13,30,40,+0.56,+0.17
B13,40,50,+0.57,+0.18
B13,50,65,+0.65,+0.19
B13,65,80,+0.66,+0.2
B13,80,100,+0.76,+0.22
B13,100,120,+0.78,+0.24
B13,120,140,+0.89,+0.26
B13,140,160,+0.91,+0.28
B13,160,180,+0.94,+0.31
B13,180,200,+1.06,+0.34
B13,200,225,+1.1,+0.38
B13,225,250,+1.14,+0.42
B13,250,280,+1.29,+0.48
B13,280,315,+1.35,+0.54
B13,315,355,+1.49,+0.6
B13,355,400,+1.57,+0.68
B13,400,450,+1.73,+0.76
B13,450,500,+1.81,+0.84
C8,0,3,+0.074,+0.06
C8,3,6,+0.088,+0.07
C8,6,10,+0.102,+0.08
C8,10,18,+0.122,+0.095
C8,18,30,+0.143,+0.11
C8,30,40,+0.159,+0.12
C8,40,50,+0.169,+0.13
C8,50,65,+0.186,+0.14
C8,65,80,+0.196,+0.15
C8,80,100,+0.224,+0.17
C8,100,120,+0.234,+0.18
C8,120,140,+0.263,+0.2
C8,140,160,+0.273,+0.21
C8,160,180,+0.293,+0.23
C8,180,200,+0.312,+0.24
C8,200,225,+0.332,+0.26
C8,225,250,+0.352,+0.28
C8,250,280,+0.381,+0.3
C8,280,315,+0.411,+0.33
C8,315,355,+0.449,+0.36
C8,355,400,+0.489,+0.4
C8,400,450,+0.537,+0.44
C8,450,500,+0.577,+0.48
C9,0,3,+0.085,+0.06
